Using request distribution 'zipfian' a keyrange of [0 25000000]
>>> registering my pebble wrapper... <<<
2025/12/04 21:29:07 [JOB 1] WAL file /tmp/pebble/198157.log with log number 198157 stopped reading at offset: 0; replayed 0 keys in 0 batches
***************** properties *****************
"scanproportion"="0"
"recordcount"="25000000"
"readproportion"="0.5"
"command"="run"
"readallfields"="true"
"operationcount"="3000000"
"workload"="core"
"fieldcount"="10"
"updateproportion"="0.5"
"fieldlength"="200"
"insertproportion"="0"
"pebble.dir"="/tmp/pebble"
"table"="usertable"
"requestdistribution"="zipfian"
"threadcount"="1"
"dotransactions"="true"
"dropdata"="false"
**********************************************
READ   - Takes(s): 10.0, Count: 14683, OPS: 1468.2, Avg(us): 113, Min(us): 3, Max(us): 8743, 50th(us): 90, 90th(us): 222, 95th(us): 294, 99th(us): 469, 99.9th(us): 759, 99.99th(us): 8011
TOTAL  - Takes(s): 10.0, Count: 29483, OPS: 2948.3, Avg(us): 322, Min(us): 3, Max(us): 8743, 50th(us): 382, 90th(us): 583, 95th(us): 623, 99th(us): 720, 99.9th(us): 1243, 99.99th(us): 6327
UPDATE - Takes(s): 10.0, Count: 14800, OPS: 1480.3, Avg(us): 529, Min(us): 348, Max(us): 6327, 50th(us): 531, 90th(us): 621, 95th(us): 661, 99th(us): 768, 99.9th(us): 1400, 99.99th(us): 5899
READ   - Takes(s): 20.0, Count: 29297, OPS: 1464.8, Avg(us): 115, Min(us): 3, Max(us): 8743, 50th(us): 92, 90th(us): 233, 95th(us): 288, 99th(us): 472, 99.9th(us): 735, 99.99th(us): 5475
TOTAL  - Takes(s): 20.0, Count: 58859, OPS: 2942.6, Avg(us): 322, Min(us): 3, Max(us): 8743, 50th(us): 375, 90th(us): 582, 95th(us): 621, 99th(us): 719, 99.9th(us): 1535, 99.99th(us): 5207
UPDATE - Takes(s): 20.0, Count: 29562, OPS: 1478.2, Avg(us): 528, Min(us): 194, Max(us): 6327, 50th(us): 531, 90th(us): 620, 95th(us): 660, 99th(us): 773, 99.9th(us): 1762, 99.99th(us): 4895
READ   - Takes(s): 30.0, Count: 43630, OPS: 1454.2, Avg(us): 118, Min(us): 3, Max(us): 8743, 50th(us): 93, 90th(us): 243, 95th(us): 295, 99th(us): 477, 99.9th(us): 720, 99.99th(us): 3359
TOTAL  - Takes(s): 30.0, Count: 87657, OPS: 2921.6, Avg(us): 325, Min(us): 3, Max(us): 13135, 50th(us): 373, 90th(us): 582, 95th(us): 625, 99th(us): 738, 99.9th(us): 1580, 99.99th(us): 5663
UPDATE - Takes(s): 30.0, Count: 44027, OPS: 1467.6, Avg(us): 529, Min(us): 194, Max(us): 13135, 50th(us): 530, 90th(us): 623, 95th(us): 665, 99th(us): 862, 99.9th(us): 1963, 99.99th(us): 6327
READ   - Takes(s): 40.0, Count: 58300, OPS: 1457.4, Avg(us): 123, Min(us): 2, Max(us): 8743, 50th(us): 97, 90th(us): 268, 95th(us): 318, 99th(us): 483, 99.9th(us): 698, 99.99th(us): 2121
TOTAL  - Takes(s): 40.0, Count: 117512, OPS: 2937.6, Avg(us): 323, Min(us): 2, Max(us): 13135, 50th(us): 347, 90th(us): 580, 95th(us): 622, 99th(us): 731, 99.9th(us): 1585, 99.99th(us): 5207
