Using request distribution 'sequential' a keyrange of [0 24999999]
>>> registering pebble DensityCache wrapper... <<<
2025/12/04 19:18:34 [JOB 1] WAL file /tmp/pebble/192215.log with log number 192215 stopped reading at offset: 1253446; replayed 4686 keys in 4686 batches
***************** properties *****************
"readproportion"="0.5"
"fieldcount"="10"
"scanproportion"="0"
"recordcount"="25000000"
"requestdistribution"="sequential"
"pebble.density_capacity"="2500000"
"command"="run"
"threadcount"="32"
"pebble.dir"="/tmp/pebble"
"readallfields"="true"
"workload"="core"
"updateproportion"="0.5"
"fieldlength"="200"
"insertproportion"="0"
"operationcount"="3000000"
"dotransactions"="true"
"table"="usertable"
"dropdata"="false"
**********************************************
READ   - Takes(s): 10.0, Count: 206827, OPS: 20681.4, Avg(us): 872, Min(us): 11, Max(us): 18175, 50th(us): 360, 90th(us): 2227, 95th(us): 2699, 99th(us): 3839, 99.9th(us): 5799, 99.99th(us): 9303
TOTAL  - Takes(s): 10.0, Count: 413398, OPS: 41333.0, Avg(us): 753, Min(us): 2, Max(us): 18623, 50th(us): 221, 90th(us): 2085, 95th(us): 2549, 99th(us): 3669, 99.9th(us): 5551, 99.99th(us): 8687
UPDATE - Takes(s): 10.0, Count: 206571, OPS: 20648.6, Avg(us): 633, Min(us): 2, Max(us): 18623, 50th(us): 103, 90th(us): 1915, 95th(us): 2369, 99th(us): 3461, 99.9th(us): 5219, 99.99th(us): 8123
READ   - Takes(s): 20.0, Count: 390857, OPS: 19541.9, Avg(us): 923, Min(us): 11, Max(us): 21871, 50th(us): 432, 90th(us): 2291, 95th(us): 2759, 99th(us): 3917, 99.9th(us): 6175, 99.99th(us): 17711
TOTAL  - Takes(s): 20.0, Count: 780643, OPS: 39028.7, Avg(us): 798, Min(us): 2, Max(us): 22159, 50th(us): 267, 90th(us): 2145, 95th(us): 2615, 99th(us): 3743, 99.9th(us): 5887, 99.99th(us): 16071
UPDATE - Takes(s): 20.0, Count: 389786, OPS: 19484.9, Avg(us): 672, Min(us): 2, Max(us): 22159, 50th(us): 124, 90th(us): 1972, 95th(us): 2429, 99th(us): 3519, 99.9th(us): 5579, 99.99th(us): 14903
READ   - Takes(s): 30.0, Count: 550895, OPS: 18362.5, Avg(us): 980, Min(us): 11, Max(us): 21871, 50th(us): 525, 90th(us): 2381, 95th(us): 2881, 99th(us): 4127, 99.9th(us): 6771, 99.99th(us): 18495
TOTAL  - Takes(s): 30.0, Count: 1100185, OPS: 36670.5, Avg(us): 851, Min(us): 2, Max(us): 22159, 50th(us): 322, 90th(us): 2231, 95th(us): 2727, 99th(us): 3939, 99.9th(us): 6307, 99.99th(us): 17807
UPDATE - Takes(s): 30.0, Count: 549290, OPS: 18306.9, Avg(us): 721, Min(us): 2, Max(us): 22159, 50th(us): 151, 90th(us): 2051, 95th(us): 2531, 99th(us): 3703, 99.9th(us): 5859, 99.99th(us): 14903
READ   - Takes(s): 40.0, Count: 754004, OPS: 18849.6, Avg(us): 960, Min(us): 11, Max(us): 21871, 50th(us): 495, 90th(us): 2343, 95th(us): 2827, 99th(us): 4025, 99.9th(us): 6239, 99.99th(us): 17855
TOTAL  - Takes(s): 40.0, Count: 1506229, OPS: 37654.0, Avg(us): 828, Min(us): 2, Max(us): 22159, 50th(us): 305, 90th(us): 2193, 95th(us): 2671, 99th(us): 3841, 99.9th(us): 5927, 99.99th(us): 15663
UPDATE - Takes(s): 40.0, Count: 752225, OPS: 18803.5, Avg(us): 695, Min(us): 2, Max(us): 22159, 50th(us): 137, 90th(us): 2010, 95th(us): 2475, 99th(us): 3609, 99.9th(us): 5583, 99.99th(us): 11759
READ   - Takes(s): 50.0, Count: 918912, OPS: 18377.8, Avg(us): 982, Min(us): 11, Max(us): 33375, 50th(us): 525, 90th(us): 2379, 95th(us): 2885, 99th(us): 4135, 99.9th(us): 6679, 99.99th(us): 18047
TOTAL  - Takes(s): 50.0, Count: 1836135, OPS: 36721.3, Avg(us): 849, Min(us): 2, Max(us): 35551, 50th(us): 325, 90th(us): 2229, 95th(us): 2727, 99th(us): 3953, 99.9th(us): 6359, 99.99th(us): 17567
UPDATE - Takes(s): 50.0, Count: 917223, OPS: 18342.7, Avg(us): 717, Min(us): 2, Max(us): 35551, 50th(us): 147, 90th(us): 2049, 95th(us): 2533, 99th(us): 3717, 99.9th(us): 5979, 99.99th(us): 15431
READ   - Takes(s): 60.0, Count: 1073140, OPS: 17885.3, Avg(us): 1005, Min(us): 11, Max(us): 33375, 50th(us): 580, 90th(us): 2409, 95th(us): 2921, 99th(us): 4175, 99.9th(us): 6591, 99.99th(us): 18639
TOTAL  - Takes(s): 60.0, Count: 2144441, OPS: 35739.5, Avg(us): 873, Min(us): 2, Max(us): 35551, 50th(us): 362, 90th(us): 2261, 95th(us): 2761, 99th(us): 3987, 99.9th(us): 6311, 99.99th(us): 18479
UPDATE - Takes(s): 60.0, Count: 1071301, OPS: 17853.6, Avg(us): 741, Min(us): 2, Max(us): 35551, 50th(us): 170, 90th(us): 2081, 95th(us): 2567, 99th(us): 3745, 99.9th(us): 5947, 99.99th(us): 18127
READ   - Takes(s): 70.0, Count: 1250957, OPS: 17870.9, Avg(us): 995, Min(us): 11, Max(us): 220159, 50th(us): 554, 90th(us): 2393, 95th(us): 2895, 99th(us): 4127, 99.9th(us): 6487, 99.99th(us): 18463
TOTAL  - Takes(s): 70.0, Count: 2500031, OPS: 35714.0, Avg(us): 863, Min(us): 2, Max(us): 230527, 50th(us): 344, 90th(us): 2245, 95th(us): 2737, 99th(us): 3943, 99.9th(us): 6211, 99.99th(us): 18079
UPDATE - Takes(s): 70.0, Count: 1249074, OPS: 17843.2, Avg(us): 731, Min(us): 2, Max(us): 230527, 50th(us): 161, 90th(us): 2067, 95th(us): 2545, 99th(us): 3707, 99.9th(us): 5855, 99.99th(us): 17199
READ   - Takes(s): 80.0, Count: 1250977, OPS: 15636.3, Avg(us): 1097, Min(us): 11, Max(us): 6852607, 50th(us): 554, 90th(us): 2393, 95th(us): 2895, 99th(us): 4127, 99.9th(us): 6519, 99.99th(us): 18959
TOTAL  - Takes(s): 80.0, Count: 2500067, OPS: 31249.3, Avg(us): 951, Min(us): 2, Max(us): 6852607, 50th(us): 344, 90th(us): 2245, 95th(us): 2739, 99th(us): 3943, 99.9th(us): 6235, 99.99th(us): 18623
UPDATE - Takes(s): 80.0, Count: 1249090, OPS: 15611.8, Avg(us): 806, Min(us): 2, Max(us): 6848511, 50th(us): 161, 90th(us): 2067, 95th(us): 2545, 99th(us): 3709, 99.9th(us): 5867, 99.99th(us): 18175
READ   - Takes(s): 90.0, Count: 1251047, OPS: 13900.3, Avg(us): 1295, Min(us): 11, Max(us): 6852607, 50th(us): 554, 90th(us): 2393, 95th(us): 2895, 99th(us): 4131, 99.9th(us): 6575, 99.99th(us): 19935
TOTAL  - Takes(s): 90.0, Count: 2500199, OPS: 27779.1, Avg(us): 1119, Min(us): 2, Max(us): 6852607, 50th(us): 344, 90th(us): 2245, 95th(us): 2739, 99th(us): 3947, 99.9th(us): 6279, 99.99th(us): 19423
UPDATE - Takes(s): 90.0, Count: 1249152, OPS: 13879.2, Avg(us): 943, Min(us): 2, Max(us): 6848511, 50th(us): 161, 90th(us): 2067, 95th(us): 2547, 99th(us): 3711, 99.9th(us): 5911, 99.99th(us): 19039
READ   - Takes(s): 100.0, Count: 1251069, OPS: 12510.5, Avg(us): 1414, Min(us): 11, Max(us): 7352319, 50th(us): 554, 90th(us): 2393, 95th(us): 2895, 99th(us): 4131, 99.9th(us): 6599, 99.99th(us): 20927
TOTAL  - Takes(s): 100.0, Count: 2500236, OPS: 25001.8, Avg(us): 1216, Min(us): 2, Max(us): 7352319, 50th(us): 344, 90th(us): 2245, 95th(us): 2739, 99th(us): 3947, 99.9th(us): 6299, 99.99th(us): 19999
