Using request distribution 'uniform' a keyrange of [0 24999999]
>>> registering pebble DensityCache wrapper... <<<
2025/12/04 18:47:23 [JOB 1] WAL file /tmp/pebble/188601.log with log number 188601 stopped reading at offset: 741700; replayed 1691 keys in 1691 batches
***************** properties *****************
"requestdistribution"="uniform"
"fieldlength"="200"
"fieldcount"="10"
"readallfields"="true"
"updateproportion"="0.5"
"operationcount"="3000000"
"recordcount"="25000000"
"workload"="core"
"dotransactions"="true"
"scanproportion"="0"
"pebble.density_capacity"="2500000"
"readproportion"="0.5"
"insertproportion"="0"
"command"="run"
"dropdata"="false"
"pebble.dir"="/tmp/pebble"
"threadcount"="32"
"table"="usertable"
**********************************************
READ   - Takes(s): 10.0, Count: 216281, OPS: 21645.5, Avg(us): 1320, Min(us): 4, Max(us): 76735, 50th(us): 983, 90th(us): 2871, 95th(us): 3665, 99th(us): 5419, 99.9th(us): 8279, 99.99th(us): 21775
TOTAL  - Takes(s): 10.0, Count: 432257, OPS: 43223.0, Avg(us): 726, Min(us): 1, Max(us): 76735, 50th(us): 276, 90th(us): 2071, 95th(us): 2885, 99th(us): 4695, 99.9th(us): 7215, 99.99th(us): 17759
UPDATE - Takes(s): 10.0, Count: 215976, OPS: 21596.3, Avg(us): 132, Min(us): 1, Max(us): 7919, 50th(us): 10, 90th(us): 429, 95th(us): 809, 99th(us): 1587, 99.9th(us): 2865, 99.99th(us): 5111
READ   - Takes(s): 20.0, Count: 462421, OPS: 23131.1, Avg(us): 1140, Min(us): 4, Max(us): 76735, 50th(us): 859, 90th(us): 2411, 95th(us): 3101, 99th(us): 4767, 99.9th(us): 7471, 99.99th(us): 19391
TOTAL  - Takes(s): 20.0, Count: 923866, OPS: 46187.3, Avg(us): 678, Min(us): 1, Max(us): 76735, 50th(us): 319, 90th(us): 1833, 95th(us): 2467, 99th(us): 4065, 99.9th(us): 6587, 99.99th(us): 17439
UPDATE - Takes(s): 20.0, Count: 461445, OPS: 23069.6, Avg(us): 215, Min(us): 1, Max(us): 20015, 50th(us): 19, 90th(us): 779, 95th(us): 1180, 99th(us): 2109, 99.9th(us): 3569, 99.99th(us): 6523
READ   - Takes(s): 30.0, Count: 701048, OPS: 23375.5, Avg(us): 1082, Min(us): 4, Max(us): 76735, 50th(us): 821, 90th(us): 2275, 95th(us): 2901, 99th(us): 4431, 99.9th(us): 7095, 99.99th(us): 18159
TOTAL  - Takes(s): 30.0, Count: 1401193, OPS: 46703.9, Avg(us): 670, Min(us): 1, Max(us): 76735, 50th(us): 340, 90th(us): 1781, 95th(us): 2351, 99th(us): 3793, 99.9th(us): 6199, 99.99th(us): 15999
UPDATE - Takes(s): 30.0, Count: 700145, OPS: 23336.9, Avg(us): 257, Min(us): 1, Max(us): 20015, 50th(us): 28, 90th(us): 938, 95th(us): 1326, 99th(us): 2249, 99.9th(us): 3625, 99.99th(us): 5915
READ   - Takes(s): 40.0, Count: 931790, OPS: 23298.7, Avg(us): 1052, Min(us): 4, Max(us): 76735, 50th(us): 797, 90th(us): 2221, 95th(us): 2807, 99th(us): 4251, 99.9th(us): 6759, 99.99th(us): 17439
TOTAL  - Takes(s): 40.0, Count: 1863096, OPS: 46576.3, Avg(us): 671, Min(us): 1, Max(us): 76735, 50th(us): 352, 90th(us): 1773, 95th(us): 2315, 99th(us): 3663, 99.9th(us): 5983, 99.99th(us): 14343
