Using request distribution 'uniform' a keyrange of [0 24999999]
>>> registering pebble DeToX wrapper... <<<
2025/12/04 18:57:25 [JOB 1] WAL file /tmp/pebble/188610.log with log number 188610 stopped reading at offset: 253515; replayed 592 keys in 592 batches
2025/12/04 18:57:25 [JOB 1] WAL file /tmp/pebble/188792.log with log number 188792 stopped reading at offset: 1124194; replayed 2752 keys in 2752 batches
***************** properties *****************
"workload"="core"
"updateproportion"="0.5"
"dropdata"="false"
"pebble.detox_capacity"="2500000"
"requestdistribution"="uniform"
"insertproportion"="0"
"scanproportion"="0"
"fieldlength"="200"
"threadcount"="32"
"table"="usertable"
"readallfields"="true"
"operationcount"="3000000"
"fieldcount"="10"
"dotransactions"="true"
"recordcount"="25000000"
"readproportion"="0.5"
"command"="run"
"pebble.dir"="/tmp/pebble"
**********************************************
READ   - Takes(s): 10.0, Count: 316278, OPS: 31635.4, Avg(us): 879, Min(us): 4, Max(us): 39871, 50th(us): 675, 90th(us): 1812, 95th(us): 2267, 99th(us): 3315, 99.9th(us): 6247, 99.99th(us): 21071
TOTAL  - Takes(s): 10.0, Count: 632806, OPS: 63276.9, Avg(us): 490, Min(us): 2, Max(us): 39871, 50th(us): 192, 90th(us): 1409, 95th(us): 1854, 99th(us): 2883, 99.9th(us): 4843, 99.99th(us): 16367
UPDATE - Takes(s): 10.0, Count: 316528, OPS: 31649.3, Avg(us): 102, Min(us): 2, Max(us): 13255, 50th(us): 10, 90th(us): 216, 95th(us): 575, 99th(us): 1591, 99.9th(us): 2961, 99.99th(us): 5279
READ   - Takes(s): 20.0, Count: 620910, OPS: 31049.1, Avg(us): 873, Min(us): 4, Max(us): 39871, 50th(us): 668, 90th(us): 1815, 95th(us): 2275, 99th(us): 3381, 99.9th(us): 6203, 99.99th(us): 16703
TOTAL  - Takes(s): 20.0, Count: 1242140, OPS: 62099.0, Avg(us): 499, Min(us): 2, Max(us): 39871, 50th(us): 197, 90th(us): 1425, 95th(us): 1887, 99th(us): 2985, 99.9th(us): 5379, 99.99th(us): 15015
UPDATE - Takes(s): 20.0, Count: 621230, OPS: 31060.3, Avg(us): 126, Min(us): 2, Max(us): 15711, 50th(us): 12, 90th(us): 268, 95th(us): 715, 99th(us): 1924, 99.9th(us): 4179, 99.99th(us): 10655
READ   - Takes(s): 30.0, Count: 951191, OPS: 31706.9, Avg(us): 855, Min(us): 4, Max(us): 39871, 50th(us): 656, 90th(us): 1789, 95th(us): 2239, 99th(us): 3295, 99.9th(us): 5471, 99.99th(us): 15559
TOTAL  - Takes(s): 30.0, Count: 1902688, OPS: 63420.0, Avg(us): 489, Min(us): 2, Max(us): 39871, 50th(us): 192, 90th(us): 1406, 95th(us): 1856, 99th(us): 2909, 99.9th(us): 4843, 99.99th(us): 13447
UPDATE - Takes(s): 30.0, Count: 951497, OPS: 31714.0, Avg(us): 122, Min(us): 2, Max(us): 15711, 50th(us): 12, 90th(us): 263, 95th(us): 694, 99th(us): 1860, 99.9th(us): 3675, 99.99th(us): 10191
READ   - Takes(s): 40.0, Count: 1271686, OPS: 31794.6, Avg(us): 848, Min(us): 4, Max(us): 39871, 50th(us): 650, 90th(us): 1776, 95th(us): 2221, 99th(us): 3263, 99.9th(us): 5323, 99.99th(us): 16063
TOTAL  - Takes(s): 40.0, Count: 2544293, OPS: 63604.9, Avg(us): 487, Min(us): 2, Max(us): 39871, 50th(us): 196, 90th(us): 1395, 95th(us): 1840, 99th(us): 2883, 99.9th(us): 4743, 99.99th(us): 14327
UPDATE - Takes(s): 40.0, Count: 1272607, OPS: 31814.8, Avg(us): 126, Min(us): 2, Max(us): 21423, 50th(us): 13, 90th(us): 297, 95th(us): 704, 99th(us): 1820, 99.9th(us): 3599, 99.99th(us): 10399
READ   - Takes(s): 50.0, Count: 1317070, OPS: 26341.6, Avg(us): 860, Min(us): 4, Max(us): 1129471, 50th(us): 647, 90th(us): 1768, 95th(us): 2211, 99th(us): 3247, 99.9th(us): 5351, 99.99th(us): 19231
TOTAL  - Takes(s): 50.0, Count: 2634869, OPS: 52695.4, Avg(us): 493, Min(us): 2, Max(us): 1129471, 50th(us): 195, 90th(us): 1387, 95th(us): 1831, 99th(us): 2869, 99.9th(us): 4735, 99.99th(us): 15151
UPDATE - Takes(s): 50.0, Count: 1317799, OPS: 26354.5, Avg(us): 125, Min(us): 2, Max(us): 305151, 50th(us): 14, 90th(us): 291, 95th(us): 686, 99th(us): 1798, 99.9th(us): 3575, 99.99th(us): 10399
READ   - Takes(s): 60.0, Count: 1317099, OPS: 21951.7, Avg(us): 860, Min(us): 4, Max(us): 1129471, 50th(us): 647, 90th(us): 1768, 95th(us): 2211, 99th(us): 3247, 99.9th(us): 5351, 99.99th(us): 20095
TOTAL  - Takes(s): 60.0, Count: 2634930, OPS: 43914.0, Avg(us): 622, Min(us): 2, Max(us): 12042239, 50th(us): 195, 90th(us): 1387, 95th(us): 1831, 99th(us): 2871, 99.9th(us): 4755, 99.99th(us): 15823
UPDATE - Takes(s): 60.0, Count: 1317831, OPS: 21962.7, Avg(us): 383, Min(us): 2, Max(us): 12042239, 50th(us): 14, 90th(us): 291, 95th(us): 686, 99th(us): 1800, 99.9th(us): 3595, 99.99th(us): 11255
READ   - Takes(s): 70.0, Count: 1317126, OPS: 18816.7, Avg(us): 860, Min(us): 4, Max(us): 1129471, 50th(us): 647, 90th(us): 1768, 95th(us): 2211, 99th(us): 3247, 99.9th(us): 5351, 99.99th(us): 20095
TOTAL  - Takes(s): 70.0, Count: 2634989, OPS: 37641.3, Avg(us): 750, Min(us): 2, Max(us): 12042239, 50th(us): 195, 90th(us): 1387, 95th(us): 1831, 99th(us): 2871, 99.9th(us): 4771, 99.99th(us): 17135
UPDATE - Takes(s): 70.0, Count: 1317863, OPS: 18826.3, Avg(us): 639, Min(us): 2, Max(us): 12042239, 50th(us): 14, 90th(us): 291, 95th(us): 687, 99th(us): 1801, 99.9th(us): 3619, 99.99th(us): 13031
READ   - Takes(s): 80.0, Count: 1317162, OPS: 16465.0, Avg(us): 860, Min(us): 4, Max(us): 1129471, 50th(us): 647, 90th(us): 1768, 95th(us): 2211, 99th(us): 3247, 99.9th(us): 5351, 99.99th(us): 20095
