Using request distribution 'sequential' a keyrange of [0 24999999]
>>> registering pebble DensityCache wrapper... <<<
2025/12/04 20:21:43 [JOB 1] WAL file /tmp/pebble/195566.log with log number 195566 stopped reading at offset: 1224866; replayed 4579 keys in 4579 batches
***************** properties *****************
"dotransactions"="true"
"workload"="core"
"fieldlength"="200"
"updateproportion"="0.05"
"requestdistribution"="sequential"
"dropdata"="false"
"pebble.density_capacity"="2500000"
"fieldcount"="10"
"recordcount"="25000000"
"readallfields"="true"
"scanproportion"="0"
"threadcount"="32"
"operationcount"="3000000"
"command"="run"
"table"="usertable"
"readproportion"="0.95"
"insertproportion"="0"
"pebble.dir"="/tmp/pebble"
**********************************************
READ   - Takes(s): 10.0, Count: 311300, OPS: 31127.5, Avg(us): 980, Min(us): 9, Max(us): 16007, 50th(us): 805, 90th(us): 2191, 95th(us): 2607, 99th(us): 3653, 99.9th(us): 5923, 99.99th(us): 11023
TOTAL  - Takes(s): 10.0, Count: 327635, OPS: 32758.8, Avg(us): 968, Min(us): 3, Max(us): 16007, 50th(us): 776, 90th(us): 2179, 95th(us): 2595, 99th(us): 3639, 99.9th(us): 5831, 99.99th(us): 10999
UPDATE - Takes(s): 10.0, Count: 16335, OPS: 1632.9, Avg(us): 739, Min(us): 3, Max(us): 10791, 50th(us): 221, 90th(us): 1915, 95th(us): 2321, 99th(us): 3311, 99.9th(us): 4743, 99.99th(us): 7803
READ   - Takes(s): 20.0, Count: 597956, OPS: 29896.0, Avg(us): 1019, Min(us): 8, Max(us): 23919, 50th(us): 867, 90th(us): 2247, 95th(us): 2683, 99th(us): 3769, 99.9th(us): 6343, 99.99th(us): 12247
TOTAL  - Takes(s): 20.0, Count: 629730, OPS: 31483.8, Avg(us): 1007, Min(us): 3, Max(us): 23919, 50th(us): 840, 90th(us): 2235, 95th(us): 2671, 99th(us): 3757, 99.9th(us): 6275, 99.99th(us): 12207
UPDATE - Takes(s): 20.0, Count: 31774, OPS: 1588.4, Avg(us): 779, Min(us): 3, Max(us): 16639, 50th(us): 309, 90th(us): 1974, 95th(us): 2389, 99th(us): 3449, 99.9th(us): 5647, 99.99th(us): 10567
READ   - Takes(s): 30.0, Count: 856060, OPS: 28534.1, Avg(us): 1069, Min(us): 8, Max(us): 37503, 50th(us): 953, 90th(us): 2315, 95th(us): 2755, 99th(us): 3847, 99.9th(us): 6015, 99.99th(us): 13943
TOTAL  - Takes(s): 30.0, Count: 901410, OPS: 30045.3, Avg(us): 1055, Min(us): 3, Max(us): 37503, 50th(us): 928, 90th(us): 2303, 95th(us): 2741, 99th(us): 3833, 99.9th(us): 5999, 99.99th(us): 13943
UPDATE - Takes(s): 30.0, Count: 45350, OPS: 1511.4, Avg(us): 808, Min(us): 3, Max(us): 16639, 50th(us): 384, 90th(us): 2015, 95th(us): 2427, 99th(us): 3485, 99.9th(us): 5487, 99.99th(us): 10791
READ   - Takes(s): 40.0, Count: 1120263, OPS: 28005.7, Avg(us): 1089, Min(us): 8, Max(us): 37503, 50th(us): 985, 90th(us): 2341, 95th(us): 2785, 99th(us): 3857, 99.9th(us): 6015, 99.99th(us): 15495
TOTAL  - Takes(s): 40.0, Count: 1179424, OPS: 29484.4, Avg(us): 1075, Min(us): 3, Max(us): 37503, 50th(us): 960, 90th(us): 2329, 95th(us): 2771, 99th(us): 3843, 99.9th(us): 5999, 99.99th(us): 15375
UPDATE - Takes(s): 40.0, Count: 59161, OPS: 1478.9, Avg(us): 821, Min(us): 3, Max(us): 17695, 50th(us): 425, 90th(us): 2032, 95th(us): 2447, 99th(us): 3483, 99.9th(us): 5487, 99.99th(us): 15359
READ   - Takes(s): 50.0, Count: 1416335, OPS: 28325.8, Avg(us): 1078, Min(us): 8, Max(us): 37503, 50th(us): 959, 90th(us): 2309, 95th(us): 2741, 99th(us): 3787, 99.9th(us): 5755, 99.99th(us): 15447
TOTAL  - Takes(s): 50.0, Count: 1491168, OPS: 29822.2, Avg(us): 1063, Min(us): 3, Max(us): 37503, 50th(us): 931, 90th(us): 2295, 95th(us): 2727, 99th(us): 3771, 99.9th(us): 5727, 99.99th(us): 15359
UPDATE - Takes(s): 50.0, Count: 74833, OPS: 1496.5, Avg(us): 786, Min(us): 3, Max(us): 17695, 50th(us): 329, 90th(us): 1987, 95th(us): 2389, 99th(us): 3389, 99.9th(us): 5127, 99.99th(us): 15255
READ   - Takes(s): 60.0, Count: 1671737, OPS: 27861.7, Avg(us): 1096, Min(us): 8, Max(us): 37503, 50th(us): 987, 90th(us): 2319, 95th(us): 2757, 99th(us): 3867, 99.9th(us): 6347, 99.99th(us): 16199
TOTAL  - Takes(s): 60.0, Count: 1759934, OPS: 29331.4, Avg(us): 1081, Min(us): 3, Max(us): 37503, 50th(us): 961, 90th(us): 2307, 95th(us): 2743, 99th(us): 3851, 99.9th(us): 6307, 99.99th(us): 16111
UPDATE - Takes(s): 60.0, Count: 88197, OPS: 1469.8, Avg(us): 801, Min(us): 3, Max(us): 19919, 50th(us): 370, 90th(us): 1998, 95th(us): 2403, 99th(us): 3449, 99.9th(us): 5683, 99.99th(us): 15359
READ   - Takes(s): 70.0, Count: 1886924, OPS: 26955.5, Avg(us): 1133, Min(us): 8, Max(us): 37951, 50th(us): 1027, 90th(us): 2399, 95th(us): 2873, 99th(us): 4045, 99.9th(us): 6543, 99.99th(us): 17119
TOTAL  - Takes(s): 70.0, Count: 1986554, OPS: 28378.6, Avg(us): 1118, Min(us): 3, Max(us): 37951, 50th(us): 1002, 90th(us): 2385, 95th(us): 2857, 99th(us): 4027, 99.9th(us): 6515, 99.99th(us): 17055
UPDATE - Takes(s): 70.0, Count: 99630, OPS: 1423.2, Avg(us): 834, Min(us): 3, Max(us): 19919, 50th(us): 449, 90th(us): 2069, 95th(us): 2501, 99th(us): 3599, 99.9th(us): 5899, 99.99th(us): 15359
READ   - Takes(s): 80.0, Count: 2173294, OPS: 27166.2, Avg(us): 1124, Min(us): 8, Max(us): 37951, 50th(us): 1025, 90th(us): 2377, 95th(us): 2839, 99th(us): 3985, 99.9th(us): 6375, 99.99th(us): 16783
TOTAL  - Takes(s): 80.0, Count: 2288141, OPS: 28600.2, Avg(us): 1109, Min(us): 3, Max(us): 37951, 50th(us): 1000, 90th(us): 2363, 95th(us): 2823, 99th(us): 3965, 99.9th(us): 6339, 99.99th(us): 16655
UPDATE - Takes(s): 80.0, Count: 114847, OPS: 1435.5, Avg(us): 829, Min(us): 3, Max(us): 19919, 50th(us): 439, 90th(us): 2051, 95th(us): 2475, 99th(us): 3555, 99.9th(us): 5675, 99.99th(us): 15255
READ   - Takes(s): 90.0, Count: 2374328, OPS: 26381.1, Avg(us): 1126, Min(us): 8, Max(us): 727039, 50th(us): 1028, 90th(us): 2367, 95th(us): 2821, 99th(us): 3947, 99.9th(us): 6255, 99.99th(us): 16703
TOTAL  - Takes(s): 90.0, Count: 2500034, OPS: 27777.5, Avg(us): 1112, Min(us): 3, Max(us): 727039, 50th(us): 1003, 90th(us): 2353, 95th(us): 2807, 99th(us): 3929, 99.9th(us): 6223, 99.99th(us): 16591
UPDATE - Takes(s): 90.0, Count: 125706, OPS: 1396.7, Avg(us): 832, Min(us): 3, Max(us): 718335, 50th(us): 435, 90th(us): 2044, 95th(us): 2465, 99th(us): 3525, 99.9th(us): 5567, 99.99th(us): 15255
READ   - Takes(s): 100.7, Count: 2374423, OPS: 23567.6, Avg(us): 1262, Min(us): 8, Max(us): 5578751, 50th(us): 1028, 90th(us): 2367, 95th(us): 2821, 99th(us): 3951, 99.9th(us): 6307, 99.99th(us): 18239
TOTAL  - Takes(s): 100.8, Count: 2500134, OPS: 24815.1, Avg(us): 1240, Min(us): 3, Max(us): 5578751, 50th(us): 1003, 90th(us): 2353, 95th(us): 2807, 99th(us): 3931, 99.9th(us): 6279, 99.99th(us): 17935
UPDATE - Takes(s): 100.8, Count: 125711, OPS: 1247.7, Avg(us): 832, Min(us): 3, Max(us): 718335, 50th(us): 435, 90th(us): 2044, 95th(us): 2465, 99th(us): 3525, 99.9th(us): 5567, 99.99th(us): 15255
READ   - Takes(s): 110.0, Count: 2374479, OPS: 21585.4, Avg(us): 1365, Min(us): 8, Max(us): 7548927, 50th(us): 1028, 90th(us): 2367, 95th(us): 2821, 99th(us): 3951, 99.9th(us): 6339, 99.99th(us): 19215
TOTAL  - Takes(s): 110.0, Count: 2500197, OPS: 22728.5, Avg(us): 1338, Min(us): 3, Max(us): 7548927, 50th(us): 1003, 90th(us): 2353, 95th(us): 2807, 99th(us): 3933, 99.9th(us): 6299, 99.99th(us): 18895
UPDATE - Takes(s): 110.0, Count: 125718, OPS: 1142.8, Avg(us): 832, Min(us): 3, Max(us): 718335, 50th(us): 435, 90th(us): 2044, 95th(us): 2465, 99th(us): 3525, 99.9th(us): 5567, 99.99th(us): 15255
READ   - Takes(s): 120.0, Count: 2374607, OPS: 19788.2, Avg(us): 1523, Min(us): 8, Max(us): 7548927, 50th(us): 1028, 90th(us): 2367, 95th(us): 2823, 99th(us): 3953, 99.9th(us): 6403, 99.99th(us): 21423
TOTAL  - Takes(s): 120.0, Count: 2500330, OPS: 20835.7, Avg(us): 1490, Min(us): 3, Max(us): 7548927, 50th(us): 1003, 90th(us): 2353, 95th(us): 2807, 99th(us): 3935, 99.9th(us): 6363, 99.99th(us): 21199
UPDATE - Takes(s): 120.0, Count: 125723, OPS: 1047.7, Avg(us): 870, Min(us): 3, Max(us): 4734975, 50th(us): 435, 90th(us): 2044, 95th(us): 2465, 99th(us): 3527, 99.9th(us): 5587, 99.99th(us): 15367
READ   - Takes(s): 130.0, Count: 2374705, OPS: 18266.5, Avg(us): 1680, Min(us): 8, Max(us): 7548927, 50th(us): 1029, 90th(us): 2367, 95th(us): 2823, 99th(us): 3955, 99.9th(us): 6455, 99.99th(us): 718847
TOTAL  - Takes(s): 130.0, Count: 2500436, OPS: 19233.7, Avg(us): 1652, Min(us): 3, Max(us): 7548927, 50th(us): 1003, 90th(us): 2353, 95th(us): 2809, 99th(us): 3937, 99.9th(us): 6423, 99.99th(us): 718335
UPDATE - Takes(s): 130.0, Count: 125731, OPS: 967.1, Avg(us): 1120, Min(us): 3, Max(us): 6373375, 50th(us): 435, 90th(us): 2044, 95th(us): 2465, 99th(us): 3531, 99.9th(us): 5647, 99.99th(us): 17695
READ   - Takes(s): 140.0, Count: 2374773, OPS: 16962.5, Avg(us): 1793, Min(us): 8, Max(us): 8359935, 50th(us): 1029, 90th(us): 2367, 95th(us): 2823, 99th(us): 3957, 99.9th(us): 6495, 99.99th(us): 4726783
