Using request distribution 'uniform' a keyrange of [0 24999999]
>>> registering pebble DensityCache wrapper... <<<
2025/12/04 19:48:58 [JOB 1] WAL file /tmp/pebble/194330.log with log number 194330 stopped reading at offset: 4108591; replayed 6762 keys in 6762 batches
2025/12/04 19:48:58 [JOB 1] WAL file /tmp/pebble/194349.log with log number 194349 stopped reading at offset: 182263; replayed 318 keys in 318 batches
***************** properties *****************
"scanproportion"="0"
"fieldcount"="10"
"threadcount"="32"
"pebble.dir"="/tmp/pebble"
"workload"="core"
"readallfields"="true"
"dropdata"="false"
"dotransactions"="true"
"requestdistribution"="uniform"
"insertproportion"="0"
"readproportion"="0.95"
"pebble.density_capacity"="2500000"
"updateproportion"="0.05"
"fieldlength"="200"
"command"="run"
"table"="usertable"
"recordcount"="25000000"
"operationcount"="3000000"
**********************************************
READ   - Takes(s): 10.0, Count: 217161, OPS: 21776.9, Avg(us): 1463, Min(us): 4, Max(us): 73215, 50th(us): 1166, 90th(us): 3067, 95th(us): 3827, 99th(us): 5487, 99.9th(us): 8519, 99.99th(us): 31103
TOTAL  - Takes(s): 10.0, Count: 228541, OPS: 22916.2, Avg(us): 1393, Min(us): 2, Max(us): 73215, 50th(us): 1097, 90th(us): 3009, 95th(us): 3773, 99th(us): 5431, 99.9th(us): 8359, 99.99th(us): 31007
UPDATE - Takes(s): 10.0, Count: 11380, OPS: 1141.2, Avg(us): 46, Min(us): 2, Max(us): 3623, 50th(us): 8, 90th(us): 83, 95th(us): 205, 99th(us): 751, 99.9th(us): 1747, 99.99th(us): 3245
READ   - Takes(s): 20.0, Count: 503016, OPS: 25185.2, Avg(us): 1261, Min(us): 4, Max(us): 73215, 50th(us): 1013, 90th(us): 2617, 95th(us): 3275, 99th(us): 4831, 99.9th(us): 7503, 99.99th(us): 20367
TOTAL  - Takes(s): 20.0, Count: 529525, OPS: 26515.2, Avg(us): 1201, Min(us): 2, Max(us): 73215, 50th(us): 951, 90th(us): 2569, 95th(us): 3227, 99th(us): 4779, 99.9th(us): 7431, 99.99th(us): 18959
UPDATE - Takes(s): 20.0, Count: 26509, OPS: 1327.5, Avg(us): 63, Min(us): 2, Max(us): 8327, 50th(us): 8, 90th(us): 116, 95th(us): 328, 99th(us): 1046, 99.9th(us): 2399, 99.99th(us): 3903
READ   - Takes(s): 30.0, Count: 811061, OPS: 27060.5, Avg(us): 1173, Min(us): 4, Max(us): 73215, 50th(us): 939, 90th(us): 2443, 95th(us): 3043, 99th(us): 4483, 99.9th(us): 6919, 99.99th(us): 17343
TOTAL  - Takes(s): 30.0, Count: 853842, OPS: 28487.5, Avg(us): 1117, Min(us): 2, Max(us): 73215, 50th(us): 878, 90th(us): 2397, 95th(us): 2999, 99th(us): 4435, 99.9th(us): 6851, 99.99th(us): 17183
UPDATE - Takes(s): 30.0, Count: 42781, OPS: 1427.4, Avg(us): 56, Min(us): 2, Max(us): 8327, 50th(us): 9, 90th(us): 116, 95th(us): 253, 99th(us): 861, 99.9th(us): 2034, 99.99th(us): 3721
READ   - Takes(s): 40.0, Count: 1093663, OPS: 27360.7, Avg(us): 1158, Min(us): 4, Max(us): 73215, 50th(us): 934, 90th(us): 2411, 95th(us): 2983, 99th(us): 4347, 99.9th(us): 6623, 99.99th(us): 16255
TOTAL  - Takes(s): 40.0, Count: 1151491, OPS: 28807.1, Avg(us): 1104, Min(us): 2, Max(us): 73215, 50th(us): 874, 90th(us): 2369, 95th(us): 2941, 99th(us): 4299, 99.9th(us): 6563, 99.99th(us): 15959
UPDATE - Takes(s): 40.0, Count: 57828, OPS: 1446.7, Avg(us): 74, Min(us): 2, Max(us): 8327, 50th(us): 10, 90th(us): 150, 95th(us): 391, 99th(us): 1157, 99.9th(us): 2413, 99.99th(us): 3573
READ   - Takes(s): 50.0, Count: 1416933, OPS: 28354.5, Avg(us): 1117, Min(us): 4, Max(us): 73215, 50th(us): 896, 90th(us): 2333, 95th(us): 2889, 99th(us): 4203, 99.9th(us): 6439, 99.99th(us): 15575
TOTAL  - Takes(s): 50.0, Count: 1491735, OPS: 29851.2, Avg(us): 1065, Min(us): 2, Max(us): 73215, 50th(us): 837, 90th(us): 2291, 95th(us): 2847, 99th(us): 4159, 99.9th(us): 6367, 99.99th(us): 15431
UPDATE - Takes(s): 50.0, Count: 74802, OPS: 1497.0, Avg(us): 75, Min(us): 2, Max(us): 8327, 50th(us): 10, 90th(us): 166, 95th(us): 385, 99th(us): 1122, 99.9th(us): 2279, 99.99th(us): 3561
READ   - Takes(s): 60.0, Count: 1731066, OPS: 28863.8, Avg(us): 1097, Min(us): 4, Max(us): 73215, 50th(us): 878, 90th(us): 2297, 95th(us): 2841, 99th(us): 4115, 99.9th(us): 6283, 99.99th(us): 15391
TOTAL  - Takes(s): 60.0, Count: 1822290, OPS: 30386.2, Avg(us): 1046, Min(us): 2, Max(us): 73215, 50th(us): 820, 90th(us): 2255, 95th(us): 2801, 99th(us): 4075, 99.9th(us): 6215, 99.99th(us): 15263
UPDATE - Takes(s): 60.0, Count: 91224, OPS: 1521.2, Avg(us): 74, Min(us): 2, Max(us): 8327, 50th(us): 10, 90th(us): 166, 95th(us): 376, 99th(us): 1060, 99.9th(us): 2179, 99.99th(us): 3461
READ   - Takes(s): 70.0, Count: 1952892, OPS: 27908.8, Avg(us): 1133, Min(us): 4, Max(us): 73215, 50th(us): 908, 90th(us): 2377, 95th(us): 2941, 99th(us): 4243, 99.9th(us): 6499, 99.99th(us): 15135
TOTAL  - Takes(s): 70.0, Count: 2055876, OPS: 29381.8, Avg(us): 1082, Min(us): 2, Max(us): 73215, 50th(us): 851, 90th(us): 2337, 95th(us): 2899, 99th(us): 4203, 99.9th(us): 6443, 99.99th(us): 14895
UPDATE - Takes(s): 70.0, Count: 102984, OPS: 1471.8, Avg(us): 110, Min(us): 2, Max(us): 16559, 50th(us): 12, 90th(us): 256, 95th(us): 620, 99th(us): 1611, 99.9th(us): 3037, 99.99th(us): 4963
READ   - Takes(s): 80.0, Count: 2281372, OPS: 28526.1, Avg(us): 1108, Min(us): 4, Max(us): 73215, 50th(us): 886, 90th(us): 2327, 95th(us): 2881, 99th(us): 4155, 99.9th(us): 6327, 99.99th(us): 14655
TOTAL  - Takes(s): 80.0, Count: 2401501, OPS: 30029.5, Avg(us): 1058, Min(us): 2, Max(us): 73215, 50th(us): 830, 90th(us): 2287, 95th(us): 2841, 99th(us): 4115, 99.9th(us): 6279, 99.99th(us): 14423
UPDATE - Takes(s): 80.0, Count: 120129, OPS: 1502.2, Avg(us): 112, Min(us): 2, Max(us): 16559, 50th(us): 12, 90th(us): 273, 95th(us): 618, 99th(us): 1562, 99.9th(us): 2943, 99.99th(us): 4895
READ   - Takes(s): 90.0, Count: 2501873, OPS: 27807.1, Avg(us): 1091, Min(us): 4, Max(us): 73215, 50th(us): 869, 90th(us): 2299, 95th(us): 2845, 99th(us): 4107, 99.9th(us): 6259, 99.99th(us): 14343
TOTAL  - Takes(s): 90.0, Count: 2633814, OPS: 29274.1, Avg(us): 1041, Min(us): 2, Max(us): 73215, 50th(us): 813, 90th(us): 2257, 95th(us): 2807, 99th(us): 4069, 99.9th(us): 6203, 99.99th(us): 14159
UPDATE - Takes(s): 90.0, Count: 131941, OPS: 1466.5, Avg(us): 107, Min(us): 2, Max(us): 16559, 50th(us): 13, 90th(us): 258, 95th(us): 580, 99th(us): 1512, 99.9th(us): 2847, 99.99th(us): 4583
READ   - Takes(s): 100.0, Count: 2501922, OPS: 25024.3, Avg(us): 1184, Min(us): 4, Max(us): 6987775, 50th(us): 869, 90th(us): 2299, 95th(us): 2847, 99th(us): 4111, 99.9th(us): 6283, 99.99th(us): 14887
TOTAL  - Takes(s): 100.0, Count: 2633867, OPS: 26345.5, Avg(us): 1130, Min(us): 2, Max(us): 6987775, 50th(us): 813, 90th(us): 2257, 95th(us): 2807, 99th(us): 4071, 99.9th(us): 6219, 99.99th(us): 14767
UPDATE - Takes(s): 100.0, Count: 131945, OPS: 1319.8, Avg(us): 107, Min(us): 2, Max(us): 16559, 50th(us): 13, 90th(us): 258, 95th(us): 580, 99th(us): 1512, 99.9th(us): 2859, 99.99th(us): 4895
READ   - Takes(s): 110.0, Count: 2501966, OPS: 22750.6, Avg(us): 1315, Min(us): 4, Max(us): 10092543, 50th(us): 869, 90th(us): 2299, 95th(us): 2847, 99th(us): 4111, 99.9th(us): 6303, 99.99th(us): 15567
TOTAL  - Takes(s): 110.0, Count: 2633914, OPS: 23951.1, Avg(us): 1256, Min(us): 2, Max(us): 10092543, 50th(us): 813, 90th(us): 2257, 95th(us): 2807, 99th(us): 4071, 99.9th(us): 6235, 99.99th(us): 15391
UPDATE - Takes(s): 110.0, Count: 131948, OPS: 1199.8, Avg(us): 142, Min(us): 2, Max(us): 4575231, 50th(us): 13, 90th(us): 258, 95th(us): 580, 99th(us): 1512, 99.9th(us): 2871, 99.99th(us): 4947
READ   - Takes(s): 120.0, Count: 2502071, OPS: 20855.1, Avg(us): 1478, Min(us): 4, Max(us): 10092543, 50th(us): 869, 90th(us): 2299, 95th(us): 2847, 99th(us): 4115, 99.9th(us): 6343, 99.99th(us): 18335
TOTAL  - Takes(s): 120.0, Count: 2634029, OPS: 21955.5, Avg(us): 1419, Min(us): 2, Max(us): 10092543, 50th(us): 813, 90th(us): 2259, 95th(us): 2807, 99th(us): 4073, 99.9th(us): 6295, 99.99th(us): 17887
UPDATE - Takes(s): 120.0, Count: 131958, OPS: 1099.9, Avg(us): 299, Min(us): 2, Max(us): 7180287, 50th(us): 13, 90th(us): 259, 95th(us): 580, 99th(us): 1514, 99.9th(us): 2913, 99.99th(us): 8155
READ   - Takes(s): 130.0, Count: 2502115, OPS: 19250.4, Avg(us): 1564, Min(us): 4, Max(us): 10092543, 50th(us): 869, 90th(us): 2299, 95th(us): 2847, 99th(us): 4115, 99.9th(us): 6367, 99.99th(us): 23087
TOTAL  - Takes(s): 130.0, Count: 2634073, OPS: 20266.2, Avg(us): 1501, Min(us): 2, Max(us): 10092543, 50th(us): 813, 90th(us): 2259, 95th(us): 2807, 99th(us): 4075, 99.9th(us): 6311, 99.99th(us): 21391
UPDATE - Takes(s): 130.0, Count: 131958, OPS: 1015.3, Avg(us): 299, Min(us): 2, Max(us): 7180287, 50th(us): 13, 90th(us): 259, 95th(us): 580, 99th(us): 1514, 99.9th(us): 2913, 99.99th(us): 8155
READ   - Takes(s): 140.0, Count: 2502190, OPS: 17876.4, Avg(us): 1743, Min(us): 4, Max(us): 10092543, 50th(us): 869, 90th(us): 2299, 95th(us): 2847, 99th(us): 4115, 99.9th(us): 6415, 99.99th(us): 120895
TOTAL  - Takes(s): 140.0, Count: 2634151, OPS: 18819.1, Avg(us): 1675, Min(us): 2, Max(us): 10092543, 50th(us): 813, 90th(us): 2259, 95th(us): 2809, 99th(us): 4077, 99.9th(us): 6343, 99.99th(us): 108735
UPDATE - Takes(s): 140.0, Count: 131961, OPS: 942.8, Avg(us): 396, Min(us): 2, Max(us): 7180287, 50th(us): 13, 90th(us): 259, 95th(us): 580, 99th(us): 1515, 99.9th(us): 2943, 99.99th(us): 10375
READ   - Takes(s): 150.0, Count: 2502255, OPS: 16684.3, Avg(us): 1851, Min(us): 4, Max(us): 10092543, 50th(us): 869, 90th(us): 2299, 95th(us): 2847, 99th(us): 4119, 99.9th(us): 6451, 99.99th(us): 3805183
TOTAL  - Takes(s): 150.0, Count: 2634221, OPS: 17564.6, Avg(us): 1778, Min(us): 2, Max(us): 10092543, 50th(us): 813, 90th(us): 2259, 95th(us): 2809, 99th(us): 4079, 99.9th(us): 6379, 99.99th(us): 2590719
UPDATE - Takes(s): 150.0, Count: 131966, OPS: 879.9, Avg(us): 398, Min(us): 2, Max(us): 7180287, 50th(us): 13, 90th(us): 259, 95th(us): 581, 99th(us): 1516, 99.9th(us): 2949, 99.99th(us): 12031
READ   - Takes(s): 160.1, Count: 2502291, OPS: 15630.2, Avg(us): 1990, Min(us): 4, Max(us): 11886591, 50th(us): 869, 90th(us): 2299, 95th(us): 2849, 99th(us): 4119, 99.9th(us): 6471, 99.99th(us): 6393855
