Using request distribution 'sequential' a keyrange of [0 24999999]
>>> registering pebble DeToX wrapper... <<<
2025/12/04 20:31:47 [JOB 1] WAL file /tmp/pebble/195570.log with log number 195570 stopped reading at offset: 249132; replayed 933 keys in 933 batches
2025/12/04 20:31:47 [JOB 1] WAL file /tmp/pebble/195579.log with log number 195579 stopped reading at offset: 1137307; replayed 4231 keys in 4231 batches
***************** properties *****************
"operationcount"="3000000"
"pebble.dir"="/tmp/pebble"
"dotransactions"="true"
"command"="run"
"threadcount"="32"
"fieldcount"="10"
"scanproportion"="0"
"requestdistribution"="sequential"
"insertproportion"="0"
"recordcount"="25000000"
"readproportion"="0.95"
"fieldlength"="200"
"table"="usertable"
"readallfields"="true"
"workload"="core"
"updateproportion"="0.05"
"dropdata"="false"
"pebble.detox_capacity"="2500000"
**********************************************
READ   - Takes(s): 10.0, Count: 678748, OPS: 67877.1, Avg(us): 443, Min(us): 9, Max(us): 13199, 50th(us): 150, 90th(us): 1195, 95th(us): 1637, 99th(us): 2735, 99.9th(us): 4559, 99.99th(us): 7023
TOTAL  - Takes(s): 10.0, Count: 714241, OPS: 71423.1, Avg(us): 437, Min(us): 3, Max(us): 13199, 50th(us): 144, 90th(us): 1189, 95th(us): 1630, 99th(us): 2729, 99.9th(us): 4559, 99.99th(us): 7023
UPDATE - Takes(s): 10.0, Count: 35493, OPS: 3549.7, Avg(us): 329, Min(us): 3, Max(us): 10527, 50th(us): 40, 90th(us): 1055, 95th(us): 1441, 99th(us): 2577, 99.9th(us): 4535, 99.99th(us): 6567
READ   - Takes(s): 20.0, Count: 1223492, OPS: 61183.2, Avg(us): 494, Min(us): 9, Max(us): 22479, 50th(us): 202, 90th(us): 1278, 95th(us): 1751, 99th(us): 2919, 99.9th(us): 5243, 99.99th(us): 11063
TOTAL  - Takes(s): 20.0, Count: 1287565, OPS: 64384.8, Avg(us): 486, Min(us): 3, Max(us): 22479, 50th(us): 194, 90th(us): 1267, 95th(us): 1739, 99th(us): 2907, 99.9th(us): 5227, 99.99th(us): 11023
UPDATE - Takes(s): 20.0, Count: 64073, OPS: 3204.2, Avg(us): 329, Min(us): 3, Max(us): 16415, 50th(us): 44, 90th(us): 1049, 95th(us): 1448, 99th(us): 2659, 99.9th(us): 4751, 99.99th(us): 7899
READ   - Takes(s): 30.0, Count: 1742279, OPS: 58080.5, Avg(us): 523, Min(us): 9, Max(us): 22479, 50th(us): 231, 90th(us): 1354, 95th(us): 1832, 99th(us): 2999, 99.9th(us): 5071, 99.99th(us): 11343
TOTAL  - Takes(s): 30.0, Count: 1833891, OPS: 61131.7, Avg(us): 512, Min(us): 3, Max(us): 22479, 50th(us): 220, 90th(us): 1339, 95th(us): 1817, 99th(us): 2983, 99.9th(us): 5051, 99.99th(us): 11319
UPDATE - Takes(s): 30.0, Count: 91612, OPS: 3053.9, Avg(us): 308, Min(us): 3, Max(us): 18063, 50th(us): 41, 90th(us): 1012, 95th(us): 1410, 99th(us): 2607, 99.9th(us): 4639, 99.99th(us): 10527
READ   - Takes(s): 40.0, Count: 2327528, OPS: 58191.7, Avg(us): 522, Min(us): 9, Max(us): 22479, 50th(us): 236, 90th(us): 1343, 95th(us): 1812, 99th(us): 2943, 99.9th(us): 4971, 99.99th(us): 11671
TOTAL  - Takes(s): 40.0, Count: 2449980, OPS: 61251.1, Avg(us): 511, Min(us): 3, Max(us): 22479, 50th(us): 226, 90th(us): 1328, 95th(us): 1798, 99th(us): 2927, 99.9th(us): 4959, 99.99th(us): 11679
UPDATE - Takes(s): 40.0, Count: 122452, OPS: 3061.4, Avg(us): 309, Min(us): 3, Max(us): 18063, 50th(us): 42, 90th(us): 1008, 95th(us): 1395, 99th(us): 2569, 99.9th(us): 4651, 99.99th(us): 12847
READ   - Takes(s): 50.0, Count: 2375865, OPS: 47519.3, Avg(us): 537, Min(us): 9, Max(us): 403199, 50th(us): 238, 90th(us): 1342, 95th(us): 1810, 99th(us): 2945, 99.9th(us): 5155, 99.99th(us): 59551
TOTAL  - Takes(s): 50.0, Count: 2500738, OPS: 50016.2, Avg(us): 526, Min(us): 3, Max(us): 403199, 50th(us): 227, 90th(us): 1326, 95th(us): 1796, 99th(us): 2927, 99.9th(us): 5131, 99.99th(us): 59423
UPDATE - Takes(s): 50.0, Count: 124873, OPS: 2497.6, Avg(us): 308, Min(us): 3, Max(us): 168575, 50th(us): 42, 90th(us): 1003, 95th(us): 1386, 99th(us): 2555, 99.9th(us): 4647, 99.99th(us): 12999
READ   - Takes(s): 60.0, Count: 2376440, OPS: 39608.8, Avg(us): 537, Min(us): 9, Max(us): 403199, 50th(us): 238, 90th(us): 1341, 95th(us): 1810, 99th(us): 2945, 99.9th(us): 5155, 99.99th(us): 59551
TOTAL  - Takes(s): 60.0, Count: 2501345, OPS: 41690.0, Avg(us): 658, Min(us): 3, Max(us): 11730943, 50th(us): 227, 90th(us): 1326, 95th(us): 1796, 99th(us): 2929, 99.9th(us): 5155, 99.99th(us): 59871
UPDATE - Takes(s): 60.0, Count: 124905, OPS: 2081.8, Avg(us): 2967, Min(us): 3, Max(us): 11730943, 50th(us): 42, 90th(us): 1004, 95th(us): 1389, 99th(us): 2577, 99.9th(us): 5175, 99.99th(us): 10674175
READ   - Takes(s): 70.0, Count: 2376959, OPS: 33958.1, Avg(us): 537, Min(us): 9, Max(us): 403199, 50th(us): 238, 90th(us): 1341, 95th(us): 1810, 99th(us): 2945, 99.9th(us): 5155, 99.99th(us): 59583
