Using request distribution 'uniform' a keyrange of [0 24999999]
>>> registering pebble DeToX wrapper... <<<
2025/12/04 19:59:03 [JOB 1] WAL file /tmp/pebble/194356.log with log number 194356 stopped reading at offset: 253633; replayed 424 keys in 424 batches
2025/12/04 19:59:03 [JOB 1] WAL file /tmp/pebble/194561.log with log number 194561 stopped reading at offset: 1375825; replayed 2446 keys in 2446 batches
***************** properties *****************
"dotransactions"="true"
"command"="run"
"pebble.detox_capacity"="2500000"
"readallfields"="true"
"insertproportion"="0"
"workload"="core"
"recordcount"="25000000"
"fieldlength"="200"
"threadcount"="32"
"table"="usertable"
"readproportion"="0.95"
"scanproportion"="0"
"requestdistribution"="uniform"
"fieldcount"="10"
"updateproportion"="0.05"
"operationcount"="3000000"
"pebble.dir"="/tmp/pebble"
"dropdata"="false"
**********************************************
READ   - Takes(s): 10.0, Count: 322095, OPS: 32217.0, Avg(us): 984, Min(us): 5, Max(us): 39935, 50th(us): 778, 90th(us): 2022, 95th(us): 2509, 99th(us): 3603, 99.9th(us): 5551, 99.99th(us): 23295
TOTAL  - Takes(s): 10.0, Count: 339216, OPS: 33915.5, Avg(us): 935, Min(us): 2, Max(us): 39935, 50th(us): 726, 90th(us): 1986, 95th(us): 2475, 99th(us): 3567, 99.9th(us): 5503, 99.99th(us): 23183
UPDATE - Takes(s): 10.0, Count: 17121, OPS: 1711.9, Avg(us): 28, Min(us): 2, Max(us): 2371, 50th(us): 8, 90th(us): 29, 95th(us): 61, 99th(us): 577, 99.9th(us): 1283, 99.99th(us): 2335
READ   - Takes(s): 20.0, Count: 647552, OPS: 32380.3, Avg(us): 978, Min(us): 5, Max(us): 39935, 50th(us): 776, 90th(us): 2023, 95th(us): 2505, 99th(us): 3565, 99.9th(us): 5367, 99.99th(us): 17951
TOTAL  - Takes(s): 20.0, Count: 681732, OPS: 34084.8, Avg(us): 931, Min(us): 2, Max(us): 39935, 50th(us): 724, 90th(us): 1987, 95th(us): 2471, 99th(us): 3529, 99.9th(us): 5319, 99.99th(us): 17455
UPDATE - Takes(s): 20.0, Count: 34180, OPS: 1709.0, Avg(us): 33, Min(us): 2, Max(us): 2779, 50th(us): 9, 90th(us): 39, 95th(us): 80, 99th(us): 639, 99.9th(us): 1481, 99.99th(us): 2371
READ   - Takes(s): 30.0, Count: 962521, OPS: 32086.1, Avg(us): 986, Min(us): 5, Max(us): 39935, 50th(us): 788, 90th(us): 2037, 95th(us): 2517, 99th(us): 3591, 99.9th(us): 5495, 99.99th(us): 12415
TOTAL  - Takes(s): 30.0, Count: 1013392, OPS: 33776.3, Avg(us): 939, Min(us): 2, Max(us): 39935, 50th(us): 736, 90th(us): 2001, 95th(us): 2483, 99th(us): 3555, 99.9th(us): 5435, 99.99th(us): 11415
UPDATE - Takes(s): 30.0, Count: 50871, OPS: 1695.6, Avg(us): 44, Min(us): 2, Max(us): 7107, 50th(us): 9, 90th(us): 43, 95th(us): 117, 99th(us): 870, 99.9th(us): 2111, 99.99th(us): 3879
READ   - Takes(s): 40.0, Count: 1299618, OPS: 32491.9, Avg(us): 974, Min(us): 5, Max(us): 39935, 50th(us): 775, 90th(us): 2019, 95th(us): 2495, 99th(us): 3557, 99.9th(us): 5327, 99.99th(us): 10095
TOTAL  - Takes(s): 40.0, Count: 1368240, OPS: 34205.3, Avg(us): 927, Min(us): 2, Max(us): 39935, 50th(us): 723, 90th(us): 1984, 95th(us): 2461, 99th(us): 3521, 99.9th(us): 5275, 99.99th(us): 9767
UPDATE - Takes(s): 40.0, Count: 68622, OPS: 1715.5, Avg(us): 38, Min(us): 2, Max(us): 7107, 50th(us): 9, 90th(us): 40, 95th(us): 85, 99th(us): 739, 99.9th(us): 1930, 99.99th(us): 3559
READ   - Takes(s): 50.0, Count: 1629993, OPS: 32601.2, Avg(us): 971, Min(us): 5, Max(us): 39935, 50th(us): 771, 90th(us): 2018, 95th(us): 2495, 99th(us): 3551, 99.9th(us): 5231, 99.99th(us): 8911
TOTAL  - Takes(s): 50.0, Count: 1716179, OPS: 34321.9, Avg(us): 924, Min(us): 2, Max(us): 39935, 50th(us): 718, 90th(us): 1983, 95th(us): 2463, 99th(us): 3515, 99.9th(us): 5191, 99.99th(us): 8711
UPDATE - Takes(s): 50.0, Count: 86186, OPS: 1723.7, Avg(us): 33, Min(us): 2, Max(us): 7107, 50th(us): 9, 90th(us): 37, 95th(us): 70, 99th(us): 645, 99.9th(us): 1841, 99.99th(us): 3349
READ   - Takes(s): 60.0, Count: 1909715, OPS: 31829.7, Avg(us): 994, Min(us): 5, Max(us): 39935, 50th(us): 792, 90th(us): 2057, 95th(us): 2543, 99th(us): 3651, 99.9th(us): 5647, 99.99th(us): 11431
TOTAL  - Takes(s): 60.0, Count: 2010815, OPS: 33512.3, Avg(us): 946, Min(us): 2, Max(us): 39935, 50th(us): 740, 90th(us): 2019, 95th(us): 2509, 99th(us): 3619, 99.9th(us): 5607, 99.99th(us): 11007
UPDATE - Takes(s): 60.0, Count: 101100, OPS: 1685.0, Avg(us): 53, Min(us): 2, Max(us): 10255, 50th(us): 10, 90th(us): 47, 95th(us): 147, 99th(us): 1052, 99.9th(us): 3043, 99.99th(us): 7107
READ   - Takes(s): 70.0, Count: 2239236, OPS: 31988.8, Avg(us): 989, Min(us): 5, Max(us): 39935, 50th(us): 789, 90th(us): 2049, 95th(us): 2533, 99th(us): 3629, 99.9th(us): 5539, 99.99th(us): 10567
TOTAL  - Takes(s): 70.0, Count: 2357905, OPS: 33683.1, Avg(us): 942, Min(us): 2, Max(us): 39935, 50th(us): 735, 90th(us): 2012, 95th(us): 2499, 99th(us): 3597, 99.9th(us): 5499, 99.99th(us): 10375
UPDATE - Takes(s): 70.0, Count: 118669, OPS: 1695.2, Avg(us): 48, Min(us): 2, Max(us): 10255, 50th(us): 9, 90th(us): 44, 95th(us): 111, 99th(us): 964, 99.9th(us): 2829, 99.99th(us): 6863
READ   - Takes(s): 80.0, Count: 2502042, OPS: 31275.6, Avg(us): 997, Min(us): 5, Max(us): 404223, 50th(us): 783, 90th(us): 2039, 95th(us): 2523, 99th(us): 3619, 99.9th(us): 5571, 99.99th(us): 26543
TOTAL  - Takes(s): 80.0, Count: 2634465, OPS: 32929.8, Avg(us): 950, Min(us): 2, Max(us): 404223, 50th(us): 730, 90th(us): 2003, 95th(us): 2489, 99th(us): 3585, 99.9th(us): 5519, 99.99th(us): 24143
UPDATE - Takes(s): 80.0, Count: 132423, OPS: 1655.2, Avg(us): 45, Min(us): 2, Max(us): 120063, 50th(us): 9, 90th(us): 41, 95th(us): 93, 99th(us): 899, 99.9th(us): 2695, 99.99th(us): 6863
